Sex,Education,Employment Status
Male,Less than High School,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,College Graduate,Part-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Unemployed
Female,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Part-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Unemployed
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,College Graduate,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Less than High School,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,Less than High School,Full-Time
Female,Some College Credit,Full-Time
Female,High School Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Female,Less than High School,Part-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Part-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,Less than High School,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,Less than High School,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Female,College Graduate,Full-Time
Female,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,College Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Part-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,Less than High School,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,Less than High School,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Less than High School,Full-Time
Male,Less than High School,Full-Time
Male,Less than High School,Part-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Female,High School Graduate,Part-Time
Female,High School Graduate,Part-Time
Male,Less than High School,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Male,Less than High School,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,Less than High School,Full-Time
Male,Less than High School,Full-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Part-Time
Male,Less than High School,Full-Time
Male,High School Graduate,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Female,Less than High School,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Less than High School,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Less than High School,Part-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Part-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,Less than High School,Full-Time
Male,College Graduate,Full-Time
Male,College Graduate,Part-Time
Female,Less than High School,Full-Time
Female,High School Graduate,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Male,Less than High School,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Part-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,High School Graduate,Part-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,Less than High School,Full-Time
Female,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Male,College Graduate,Full-Time
Male,College Graduate,Full-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Part-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,College Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,College Graduate,Part-Time
Female,High School Graduate,Part-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,Less than High School,Part-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,Less than High School,Full-Time
Female,College Graduate,Full-Time
Female,Less than High School,Part-Time
Male,College Graduate,Full-Time
Male,Less than High School,Part-Time
Male,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Unemployed
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Part-Time
Female,College Graduate,Full-Time
Male,College Graduate,Full-Time
Female,Less than High School,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Less than High School,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Part-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,College Graduate,Part-Time
Male,College Graduate,Full-Time
Female,College Graduate,Part-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Less than High School,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Part-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,Less than High School,Part-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Less than High School,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,High School Graduate,Part-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,College Graduate,Part-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Part-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,Some College Credit,Part-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Part-Time
Female,Less than High School,Full-Time
Male,Some College Credit,Full-Time
Female,Less than High School,Full-Time
Male,Some College Credit,Part-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Less than High School,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,High School Graduate,Part-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Part-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Less than High School,Part-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,High School Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,Less than High School,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Less than High School,Full-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Female,Less than High School,Part-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Part-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,Less than High School,Part-Time
Male,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,College Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,College Graduate,Full-Time
Female,College Graduate,Part-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,Less than High School,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Part-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,Less than High School,Unemployed
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Less than High School,Full-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,High School Graduate,Part-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Male,Less than High School,Full-Time
Male,Less than High School,Full-Time
Female,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Part-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,Less than High School,Unemployed
Female,Less than High School,Part-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Less than High School,Unemployed
Female,College Graduate,Part-Time
Female,College Graduate,Part-Time
Female,High School Graduate,Part-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Less than High School,Full-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Full-Time
Male,Less than High School,Part-Time
Female,Some College Credit,Part-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Part-Time
Male,College Graduate,Part-Time
Female,High School Graduate,Part-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Full-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Part-Time
Male,College Graduate,Full-Time
Male,High School Graduate,Full-Time
Female,High School Graduate,Part-Time
Female,College Graduate,Full-Time
Male,College Graduate,Full-Time
Male,College Graduate,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Female,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Part-Time
Male,High School Graduate,Full-Time
Male,College Graduate,Full-Time
Female,College Graduate,Part-Time
Female,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Less than High School,Full-Time
Female,College Graduate,Part-Time
Male,High School Graduate,Full-Time
Female,Some College Credit,Part-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,College Graduate,Full-Time
Female,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
Female,Some College Credit,Part-Time
Male,College Graduate,Part-Time
Male,Some College Credit,Full-Time
Female,Some College Credit,Full-Time
